"_unit_id","category","category:confidence","image_url"
851505458,"ikat",0.3487,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/23/5f635c0fa59f4270a6953f67dcddcda3.jpg.png"
851505459,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/24/ca5ca27caca94f9fb0617c226477ae35.jpg.png"
851505460,"polka dot",0.6709,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/27/7be73e354249484db5a8ddf4e05cc63b.jpg.png"
851505461,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/30/7e241481162649d39048f522d0653e03.jpg.png"
851505462,"geometry",0.7035,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/35/808d0bf9fe9745fca13ab461f86e0e4e.jpg.png"
851505463,"geometry",0.6585,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/36/239faf3c69e44268ba411a91afd8ca98.jpg.png"
851505464,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/38/c6e22692f9b6430a87958f30b77d3f4a.jpg.png"
851505465,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/49/f6ca6990ff064c19b53df16917011779.jpg.png"
851505466,"floral",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/51/219b291464e445ec842fe325951d8159.jpg.png"
851505467,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/63/626a1559902f46ba9c9cbd2f80ba5abf.jpg.png"
851505468,"squares",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/64/ac627ec175be45d7a0872dc15eee53fe.jpg.png"
851505469,"plain",0.6721,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/66/d968cc71809f420ab6acb0b6940153cc.jpg.png"
851505470,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/69/d3e750f7a85f4c9093dccee38a3f4aa2.jpg.png"
851505471,"squares",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/78/ec5e8af93449424296109767c1422a15.jpg.png"
851505472,"ikat",0.3762,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/85/1e0fdd3cc0d5498e90d59c4f1a38ccb5.jpg.png"
851505473,"plain",0.3535,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/99/bbd097f158aa46bb8d1c91dcb85c517e.jpg.png"
851505474,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/102/6730634f1e2e469794a206b113f614c1.jpg.png"
851505475,"scales",0.3498,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/105/6fd47ff03cbf40d6ae8c84c42668b189.jpg.png"
851505476,"animal",0.6505,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/106/8237dd4bb38942929b6110038d365f49.jpg.png"
851505477,"OTHER",0.6602,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/120/e7f25a34ead245ea827165fdff924ffd.jpg.png"
851505478,"stripes",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/126/dcd3a334a64345948cc1a686d91c05e2.jpg.png"
851505479,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/129/7b89c7a5fcd246ba9865dad982b1e387.jpg.png"
851505480,"polka dot",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/134/70dde47396c841eaadad8c6171d06b7a.jpg.png"
851505481,"plain",0.3636,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/136/c57cefba27e248c596d3bd4fa631596d.jpg.png"
851505482,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/139/b0bd03203bd744b2988fde4ff96e4746.jpg.png"
851505483,"floral",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/145/4aed00b644c04956a43d1c71ed885a33.jpg.png"
851505484,"geometry",0.6582,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/151/407d09487e824ea79a2586deec7b02d3.jpg.png"
851505485,"stripes",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/155/57646ea108564dd1853c7aae134175a5.jpg.png"
851505486,"plain",0.6566,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/157/234970a0cae14b09b07e8e207466a2bc.jpg.png"
851505487,"squares",0.6697,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/167/33e40008cd18440e9d59fd7502238714.jpg.png"
851505488,"floral",0.6771,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/175/abee8daca43740e8bbfe65c732e60f5f.jpg.png"
851505489,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/181/78ea4fd5f54e40049b10330ad3ed100d.jpg.png"
851505490,"polka dot",0.6851,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/187/ce649954c5dd4037bd9c5d4fb044bba2.jpg.png"
851505491,"floral",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/189/5c5ca71b28414591a404e13110bdc920.jpg.png"
851505492,"OTHER",0.6791,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/190/3e7780ed7b124e4cb2fb02b99dfe4a91.jpg.png"
851505493,"polka dot",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/195/674b702becc542a9ad0ca554ec5dbed8.jpg.png"
851505494,"floral",0.6698,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/214/57ddc56b5e2f43aba74530c76494e9ea.jpg.png"
851505496,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/225/5d1ecf08ad4a46caa7f631de2a573a33.jpg.png"
851505497,"plain",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/226/b1a440f610f240efbafce3f7755cd182.jpg.png"
851505498,"tribal",0.68,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/230/cebe07a95249452991193ad8e83f280e.jpg.png"
851505499,"floral",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/235/0488f6d802164dda97f33fb2e9c981b4.jpg.png"
851505500,"animal",1,"http://s3-eu-west-1.amazonaws.com/we-attributes/dress/237/cccb29e4c34a40b0aec7825daff79e66.jpg.png"
